dt_sintoma,co_municipio,municipio,ocorrencias
1952-03-02,1100205,Porto Velho,0
1952-03-09,1100205,Porto Velho,0
1952-03-16,1100205,Porto Velho,0
1952-03-23,1100205,Porto Velho,0
1952-03-30,1100205,Porto Velho,0
1952-04-06,1100205,Porto Velho,0
1952-04-13,1100205,Porto Velho,0
1952-04-20,1100205,Porto Velho,0
1952-04-27,1100205,Porto Velho,0
1952-05-04,1100205,Porto Velho,0
1952-05-11,1100205,Porto Velho,0
1952-05-18,1100205,Porto Velho,0
1952-05-25,1100205,Porto Velho,0
1952-06-01,1100205,Porto Velho,0
1952-06-08,1100205,Porto Velho,0
1952-06-15,1100205,Porto Velho,0
1952-06-22,1100205,Porto Velho,0
1952-06-29,1100205,Porto Velho,0
1952-07-06,1100205,Porto Velho,0
1952-07-13,1100205,Porto Velho,0
1952-07-20,1100205,Porto Velho,0
1952-07-27,1100205,Porto Velho,0
1952-08-03,1100205,Porto Velho,0
1952-08-10,1100205,Porto Velho,0
1952-08-17,1100205,Porto Velho,0
1952-08-24,1100205,Porto Velho,0
1952-08-31,1100205,Porto Velho,0
1952-09-07,1100205,Porto Velho,0
1952-09-14,1100205,Porto Velho,0
1952-09-21,1100205,Porto Velho,0
1952-09-28,1100205,Porto Velho,0
1952-10-05,1100205,Porto Velho,0
1952-10-12,1100205,Porto Velho,0
1952-10-19,1100205,Porto Velho,0
1952-10-26,1100205,Porto Velho,0
1952-11-02,1100205,Porto Velho,0
1952-11-09,1100205,Porto Velho,0
1952-11-16,1100205,Porto Velho,0
1952-11-23,1100205,Porto Velho,0
1952-11-30,1100205,Porto Velho,0
1952-12-07,1100205,Porto Velho,0
1952-12-14,1100205,Porto Velho,0
1952-12-21,1100205,Porto Velho,0
1952-12-28,1100205,Porto Velho,0
1953-01-04,1100205,Porto Velho,0
1953-01-11,1100205,Porto Velho,0
1953-01-18,1100205,Porto Velho,0
1953-01-25,1100205,Porto Velho,0
1953-02-01,1100205,Porto Velho,0
1953-02-08,1100205,Porto Velho,0
1953-02-15,1100205,Porto Velho,0
1953-02-22,1100205,Porto Velho,0
1953-03-01,1100205,Porto Velho,0
1953-03-08,1100205,Porto Velho,0
1953-03-15,1100205,Porto Velho,0
1953-03-22,1100205,Porto Velho,0
1953-03-29,1100205,Porto Velho,0
1953-04-05,1100205,Porto Velho,0
1953-04-12,1100205,Porto Velho,0
1953-04-19,1100205,Porto Velho,0
1953-04-26,1100205,Porto Velho,0
1953-05-03,1100205,Porto Velho,0
1953-05-10,1100205,Porto Velho,0
1953-05-17,1100205,Porto Velho,0
1953-05-24,1100205,Porto Velho,0
1953-05-31,1100205,Porto Velho,0
1953-06-07,1100205,Porto Velho,0
1953-06-14,1100205,Porto Velho,0
1953-06-21,1100205,Porto Velho,0
1953-06-28,1100205,Porto Velho,0
1953-07-05,1100205,Porto Velho,0
1953-07-12,1100205,Porto Velho,0
1953-07-19,1100205,Porto Velho,0
1953-07-26,1100205,Porto Velho,0
1953-08-02,1100205,Porto Velho,0
1953-08-09,1100205,Porto Velho,0
1953-08-16,1100205,Porto Velho,0
1953-08-23,1100205,Porto Velho,0
1953-08-30,1100205,Porto Velho,0
1953-09-06,1100205,Porto Velho,0
1953-09-13,1100205,Porto Velho,0
1953-09-20,1100205,Porto Velho,0
1953-09-27,1100205,Porto Velho,0
1953-10-04,1100205,Porto Velho,0
1953-10-11,1100205,Porto Velho,0
1953-10-18,1100205,Porto Velho,0
1953-10-25,1100205,Porto Velho,0
1953-11-01,1100205,Porto Velho,0
1953-11-08,1100205,Porto Velho,0
1953-11-15,1100205,Porto Velho,0
1953-11-22,1100205,Porto Velho,0
1953-11-29,1100205,Porto Velho,0
1953-12-06,1100205,Porto Velho,0
1953-12-13,1100205,Porto Velho,0
1953-12-20,1100205,Porto Velho,0
1953-12-27,1100205,Porto Velho,0
1954-01-03,1100205,Porto Velho,0
1954-01-10,1100205,Porto Velho,0
1954-01-17,1100205,Porto Velho,0
1954-01-24,1100205,Porto Velho,0
1954-01-31,1100205,Porto Velho,0
1954-02-07,1100205,Porto Velho,0
1954-02-14,1100205,Porto Velho,0
1954-02-21,1100205,Porto Velho,0
1954-02-28,1100205,Porto Velho,0
1954-03-07,1100205,Porto Velho,0
1954-03-14,1100205,Porto Velho,0
1954-03-21,1100205,Porto Velho,0
